date,venue,title,category,event_type,start_time,end_time,price_text,is_museum,museum_name,event_url,notes
2026-01-06,Sketchboard @ Madrone Art Bar,Savina Lee @ Madrone Art Bar,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/savina-lee,Auto-imported from https://www.sketchboard.co/schedule
2026-01-06,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/savina-lee,Auto-imported from https://www.sketchboard.co/schedule
2026-01-13,Sketchboard @ Madrone Art Bar,Piss E Sissy @ Madrone Art Bar,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/piss-e-sissy,Auto-imported from https://www.sketchboard.co/schedule
2026-01-13,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/piss-e-sissy,Auto-imported from https://www.sketchboard.co/schedule
2026-01-20,Sketchboard @ Madrone Art Bar,Kawena @ Madrone Art Bar,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/kawena-tba,Auto-imported from https://www.sketchboard.co/schedule
2026-01-20,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,06:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/kawena-tba,Auto-imported from https://www.sketchboard.co/schedule
2026-02-03,Sketchboard @ Madrone Art Bar,Amina @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/amina-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-03,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/amina-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-10,Sketchboard @ Madrone Art Bar,DaJohn @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/dajohn-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-10,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,19:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/dajohn-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-14,Sketchboard (Figure),Art Markets,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule?category=Art+Markets,Auto-imported: Sketchboard
2026-02-14,Sketchboard (Figure),Art Shows,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule?category=Art+Shows,Auto-imported: Sketchboard
2026-02-14,Sketchboard (Figure),Artist Talks,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule?category=Artist+Talks,Auto-imported: Sketchboard
2026-02-14,Sketchboard (Figure),Figure Drawing Sessions,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule?category=Figure+Drawing+Sessions,Auto-imported: Sketchboard
2026-02-14,Sketchboard (Figure),Workshops,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule?category=Workshops,Auto-imported: Sketchboard
2026-02-14,Sketchboard (Figure),View Event →,Figure Drawing,,12:00,16:00,Free,no,,https://www.sketchboard.co/schedule/021426-art-markets,Auto-imported from https://www.sketchboard.co/schedule
2026-02-17,Sketchboard @ Madrone Art Bar,Allan @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/allan-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-17,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/allan-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-20,Silver Sprocket,In-Store Zine Night,Zine,,18:00,21:00,Free,no,,https://www.silversprocket.net/events/,
2026-02-22,Sketchboard SF,Drink & Draw,Drink & Draw,,19:00,21:00,$15 suggested,no,,https://www.sketchboard.co/calendar,
2026-02-24,Sketchboard @ Madrone Art Bar,Bubbles @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/bubbles-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-24,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/bubbles-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-02-25,SFMOMA,New Exhibition Opening,Museum Show,,,,Museum admission,yes,SFMOMA,https://www.sfmoma.org/events/,
2026-03-03,Sketchboard @ Madrone Art Bar,Nella @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/nella-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-03,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/nella-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-10,Sketchboard @ Madrone Art Bar,Marvi @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/marvi-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-10,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,19:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/marvi-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-15,Sketchboard (Figure),Burlesque: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/burlesque-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-03-15,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/burlesque-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
