date,venue,title,category,event_type,start_time,end_time,price_text,is_museum,museum_name,event_url,notes
2026-02-03,CAST SF,Sadira @ CAST,Sketchboard,Sketchboard,02:30,05:30,,false,,https://www.sketchboard.co/schedule/event-four-d2wwk-ea5hc-wg48c,
2026-02-04,Sketchboard,Amina @ Madrone,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/amina-madrone,
2026-02-05,Monument,Amber @ Monument,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/allan-monument,
2026-02-05,Sketchboard,Evangeline @ Oakland Grove,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/evageline-oakland-grove,
2026-02-06,OMCA,AasZa + Amber @ OMCA,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/aasza-amber,
2026-02-11,Sketchboard,DaJohn @ Madrone,Sketchboard,Sketchboard,02:30,03:30,,false,,https://www.sketchboard.co/schedule/dajohn-madrone,
2026-02-12,Sketchboard,Karen @ Oakland Grove,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/karen-oakland-grove,
2026-02-12,Monument,Taylor @ Monument,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/taylor-monument,
2026-02-14,Sketchboard,Valentine’s Day Art Market,Art Markets,Sketchboard,20:00,00:00,,false,,https://www.sketchboard.co/schedule/021426-art-markets,
2026-02-17,CAST SF,Etherealest @ CAST,Sketchboard,Sketchboard,02:30,05:30,,false,,https://www.sketchboard.co/schedule/event-five-fknp5-ych4h-9j7bl,
2026-02-18,Sketchboard,Allan @ Madrone,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/allan-madrone,
2026-02-19,Sketchboard,Aisha  @ Oakland Grove,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/aisha-oakland-grove,
2026-02-19,Monument,Toni @ Monument,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/toni-monument,
2026-02-20,OMCA,Sinnamon Noir &amp; Etherelest @ OMCA,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/xv4c8elq91rikpau84fgdp4cx1xy9s,
2026-02-24,CAST SF,Etherealest @ CAST,Sketchboard,Sketchboard,02:30,05:30,,false,,https://www.sketchboard.co/schedule/event-five-fknp5-ych4h-9j7bl-l8sks,
2026-02-25,Sketchboard,Bubbles @ Madrone,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/bubbles-madrone,
2026-02-27,Ruth's Table,Q @ Ruth's Table,Sketchboard,Sketchboard,02:00,03:00,,false,,https://www.sketchboard.co/schedule/q-ruths-table,
2026-03-04,Sketchboard,Nella @ Madrone,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/nella-madrone,
2026-03-05,Sketchboard,Elaine @ Oakland Grove,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/elaine-oakland-grove,
2026-03-05,Monument,Kat @ Monument,Sketchboard,Sketchboard,02:30,04:30,,false,,https://www.sketchboard.co/schedule/kat-monument,
2026-03-06,OMCA,Nella &amp; Q @ OMCA,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/nella-q,
2026-03-11,Sketchboard,Marvi @ Madrone,Sketchboard,Sketchboard,01:30,02:30,,false,,https://www.sketchboard.co/schedule/marvi-madrone,
2026-03-12,Sketchboard,Elle @ Oakland Grove,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/elle-oakland-grove,
2026-03-15,Monument,Burlesque: Figure Drawing Salon,Sketchboard,Sketchboard,21:00,23:00,,false,,https://www.sketchboard.co/schedule/burlesque-figure-drawing-salon,
2026-03-17,CAST SF,Isabel @ 03/16 &amp; 03/23 ,Sketchboard,Sketchboard,01:30,04:30,,false,,https://www.sketchboard.co/schedule/event-five-fknp5-ych4h-9j7bl-rlexr-fw7w9,
2026-03-18,Sketchboard,Marisa @ Madrone,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/marisa-madrone,
2026-03-19,Monument,Lillian @ Monument,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/lillian-monument,
2026-03-19,Sketchboard,Marisa  @ Oakland Grove,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/marisa-oakland-grove,
2026-03-20,OMCA,Andy Rose &amp; Kitty Kapoww @ OMCA,Sketchboard,Sketchboard,00:30,02:30,,false,,https://www.sketchboard.co/schedule/andy-rose-kitty-kapoww,
2026-03-25,Sketchboard,Violet @ Madrone,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/violet-madrone,
2026-03-26,Monument,Izzy @ Pole + Sketch @ Monument,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/izzy-pole-sketch-monument,
2026-03-27,Ruth's Table,Taylor @ Ruth's Table,Sketchboard,Sketchboard,01:00,03:00,,false,,https://www.sketchboard.co/schedule/taylor-ruths-table,
2026-04-01,Sketchboard,Paz @ Madrone,Sketchboard,Sketchboard,01:30,03:30,,false,,https://www.sketchboard.co/schedule/paz-madrone,
2026-05-03,Monument,Sailor Moon: Figure Drawing Salon,Sketchboard,Sketchboard,21:00,23:00,,false,,https://www.sketchboard.co/schedule/sailor-moon-figure-drawing-salon,
2026-06-14,Monument,Adventure Time: Figure Drawing Salon,Sketchboard,Sketchboard,21:00,23:00,,false,,https://www.sketchboard.co/schedule/adventure-time-figure-drawing-salon,
2026-07-19,Monument,James & The Giant Peach: Figure Drawing Salon,Sketchboard,Sketchboard,21:00,23:00,,false,,https://www.sketchboard.co/schedule/james-the-giant-peach-figure-drawing-salon,
